Shortname,Name,Paper,solvus,solidus,liquidus,Index,Co,Ni,Al,Cr,W,Ti,Ta,Nb,V,Mo,C,Zr,B,Ir,Re,Si,Fe,Y,Hf,Ge,Mn,Sc,Ru,Ce,Nd
Co-30.Ni-10.Al-2.Nb-5.Mo,2Nb,"Baler, N., Pandey, P., Singh, M. P., Makineni, S. K. & Chattopadhyay, K. Effects of Ti and Cr Additions in a Co–Ni–Al–Mo–Nb-Based Superalloy. in 929–936 (2020). doi:10.1007/978-3-030-51834-9_91.",990,,,779,53,30,10,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-8.4W,9W,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.036",960,1442,1467,9,83.5,0,8.1,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.4Al-10.2W-1.8Nb,10W2Nb,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.037",1065,1373,1422,10,78.6,0,9.4,0,10.2,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-10.3W-2.2Ti,10w2Ti,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.038",1081,1399,1432,11,79.1,0,8.4,0,10.3,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-11.4W-2.1V,10W2V,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.039",1030,1420,1451,12,77.5,0,9,0,11.4,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-7.6Al-9.2W-1.9Ta,10W2Ta,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.040",1102,1377,1416,13,81.3,0,7.6,0,9.2,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-8.4W-2.Ta,8W2Ta,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.042",1101,1410,1438,15,81.5,0,8.1,0,8.4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.Al-1.9Cr-7.2W-1.6Ta,2Ta2Cr,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.043",1081,1403,1430,16,81.3,0,8,1.9,7.2,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-6.7W-1.4Ta-1.4Nb,2Ta2Nb,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.045",1078,1387,1409,17,82.4,0,8.1,0,6.7,0,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-7.7W-1.6Ta-1.8Si,2Ta2Si,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.046",1055,1389,1410,18,80.8,0,8.1,0,7.7,0,1.6,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0
Co-8.2Al-7.5W-1.9Ta-2.V,2Ta2V,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.047",1115,1399,1425,19,80.4,0,8.2,0,7.5,0,1.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.2Al-9.6W-1.8Ta-1.8Mo,2T2Mo,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.048",1082,1397,1416,20,78.6,0,8.2,0,9.6,0,1.8,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-9.1W-1.7Ta-2.5Ir,2Ta2Ir,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.049",1137,1492,1452,21000,78.6,0,8.1,0,9.1,0,1.7,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
Co-8.Al-5.7W-2.Ta-1.5Mo,W2Ta2Mo,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.050",1077,1403,1428,22,82.8,0,8,0,5.7,0,2,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.7Al-5.5W-1.3Ta-0.9Ir,W2Ta2Ir,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2010). Microstructure and creep strength of different ?/??- strengthened Co-base superalloy variants. Scripta Materialia, 63(12), 1197–1200. https://doi.org/10.1016/j.scriptamat.2010.08.051",1058,1415,1449,23,83.6,0,8.7,0,5.5,0,1.3,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0
Co-8.6Al-4.1Cr-9.5W,9W-4Cr-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch77",977,1425,1454,24,77.8,0,8.6,4.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.7Al-8.2Cr-9.6W,9W-8Cr-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch78",947,1412,1440,25,73.5,0,8.7,8.2,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-16.5Cr-9.W,9W-16Cr-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch79",860,1372,1409,26,66.1,0,8.4,16.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.2Ni-9.1Al-8.2Cr-9.6W,9W-8Cr-9Ni-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch82",958,1418,1439,29,63.87,9.2,9.1,8.2,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-18.Ni-8.6Al-8.1Cr-8.8W,9w-8Cr-18Ni-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch83",978,1420,1441,30,56.5,18,8.6,8.1,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-9.1W-1.7Ta-2.5Ir,8W-2Ta-2Ir,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch84",1137,1426,1454,21000,78.6,0,8.1,0,9.1,0,1.7,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
Co-8.7Al-5.5W-1.3Ta-0.9Ir,5W-2Ta-2Ir,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch85",1060,1418,1452,23,83.6,0,8.7,0,5.5,0,1.3,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0
Co-8.Fe-7.5Al-8.8W,9W-8Fe-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch86",932,1431,1453,33,75.7,0,7.5,0,8.8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Co-16.7Fe-8.6Al-8.6W,9W-16Fe-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch87",877,1427,1450,34,66.1,0,8.6,0,8.6,0,0,0,0,0,0,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0
Co-8.1Al-8.4W-2.Ta,2Ta,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400266",1101,1414,1439,15,81.5,0,8.1,0,8.4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-9.1W-1.7Ta-2.5Ir,2Ta2Ir,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400267",1137,1426,1454,21000,78.6,0,8.1,0,9.1,0,1.7,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
Co-8.7Al-5.5W-1.3Ta-0.9Ir,5W2Ta2Ir,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400268",1060,1418,1452,23,83.6,0,8.7,0,5.5,0,1.3,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-9.3W-2.Ta-0.12B,2Ta-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400270",1097,1410,1434,39,79.68,0,8.9,0,9.3,0,2,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-8.4W,9W,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.083",963,1445,1469,9,83.5,0,8.1,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.5Al-9.6W,9W(SX),"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.084",985,1441,1466,41,81.9,0,8.5,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-9.7W-0.04B,9W-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.085",986,1440,1467,42,81.86,0,8.4,0,9.7,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-9.5W-0.08B,9W-0.08B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.086",984,1439,1465,43,81.52,0,8.9,0,9.5,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.3Al-9.4W-0.12B,9W-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.087",982,1444,1469,44,82.18,0,8.3,0,9.4,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-8.5W-2.2Ta-0.08B,8W-2Ta-0.08B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.088",1101,1414,1439,45,80.32,0,8.9,0,8.5,0,2.2,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-9.3W-2.Ta-0.12B,8W-2Ta-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.089",1097,1410,1434,39,79.68,0,8.9,0,9.3,0,2,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.Al-6.7W-1.4Ta-1.4Nb,8W-2Ta-2Nb,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.090",1079,1390,1411,47,82.5,0,8,0,6.7,0,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.2Al-9.4W-0.4Nb,9W-0.5Nb,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.091",1011,1430,1459,48,82,0,8.2,0,9.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.4Al-10.2W-1.8Nb,10W-2Nb,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.092",1064,1377,1426,10,78.6,0,9.4,0,10.2,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.2Al-9.4W-1.1Mo-0.04B,9W-1Mo-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.093",994,1436,1461,50,81.26,0,8.2,0,9.4,0,0,0,0,1.1,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.2Al-9.6W-1.5Ta-1.8Mo,8W-2Ta-2Mo,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.094",1082,1398,1417,51,78.9,0,8.2,0,9.6,0,1.5,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-10.1W-0.5Si,10W-0.5Si,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.095",989,1434,1462,52,81,0,8.4,0,10.1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
Co-8.7Al-10.3W-2.Si,10W-2Si,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.096",998,1414,1449,53,79,0,8.7,0,10.3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Co-8.1Al-7.7W-1.6Ta-1.8Si,8W-2Ta-2Si,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.097",1054,1392,1413,18,80.8,0,8.1,0,7.7,0,1.6,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0
Co-7.6Al-9.2W-2.1Ti-1.9Ta,8W-2Ta-2Ti,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.098",1153,1392,1411,55,79.2,0,7.6,0,9.2,2.1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-7.9Al-9.1W-2.1Ti-0.04B,9W-2Ti-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.099",1075,1413,1438,56,80.86,0,7.9,0,9.1,2.1,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-9.6W-2.2Ti-0.12B,9W-2Ti-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.100",1080,1414,1434,57,79.68,0,8.4,0,9.6,2.2,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.Al-9.3W-2.1V-0.04B,9W-2V-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.101",1016,1430,1456,58,80.56,0,8,0,9.3,0,0,0,2.1,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-2.Cr-9.4W-0.04B,9W-2Cr-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.102",975,1439,1464,59,80.46,0,8.1,2,9.4,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.Ni-4.5Al-5.2W-7.8Ti,10Ni-5A-5W-8Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",1137,1277,1383,67,72.5,10,4.5,0,5.2,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.2Ni-5.4Al-6.1W-5.9Ti,10Ni-6A-6W-6Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",1109,1322,1409,68,72.4,10.2,5.4,0,6.1,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
