Shortname,Name,Paper,Yield Stress,Temperature C,Strain rate /s,Compression/Tension,Notes,Index,Co,Ni,Al,Cr,W,Ti,Ta,Nb,V,Mo,C,Zr,B,Ir,Re,Si,Fe,Y,Hf,Ge,Mn,Sc,Ru,Ce,Nd
Co-34.2Ni-10.5Al-14.8Cr-3.W-1.Ta-0.15C-0.04Zr-0.2B,V208C,"Knop, M. et al. A New Polycrystalline Co-Ni Superalloy. JOM 66, 2495–2501 (2014)",920,25,0.001,1,,231,36.11,34.2,10.5,14.8,3,0,1,0,0,0,0.15,0.04,0.2,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-7.Al-12.Cr-2.W-3.5Ti-1.Ta-1.5Mo-0.4Si-0.1Hf-0.08C-0.01Zr-0.09B,7Al-3.5Ti,"Zhang, Y. Y. Y. Y., Fu, H., Zhou, X., Zhang, Y. Y. Y. Y. & Xie, J. Enhanced mechanical properties of wrought ??-strengthened Co-base superalloys by adjusting the relative content of Al and Ti. Intermetallics 112, 106543 (2019).",915,25,0.0001,1,compression,674,42.326,30,7,12,2,3.5,1,0,0,1.5,0.08,0.009,0.085,0,0,0.39,0,0,0.11,0,0,0,0,0,0
Co-2.1W-4.1Ti-9.9V,CCTW,"Liu, X. et al. Effects of Nb and W additions on the microstructures and mechanical properties of novel ?/?’ Co-V-Ti-based superalloys. Metals (Basel). 8, (2018).",893,25,0.0001,1,compression,293,83.9,0,0,0,2.1,4.1,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.Ti-2.Ta-12.V,Co-V-Ta-Ti alloy,"Qu, S. et al. Coarsening behavior of ?? precipitates and compression deformation mechanism of a novel Co–V–Ta–Ti superalloy. Mater. Sci. Eng. A 139455 (2020) doi:10.1016/j.msea.2020.139455.",884,25,0.0001,1,compression,411,84,0,0,0,0,2,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-32.Ni-6.Al-12.Cr-3.W-2.5Ti-1.5Ta-0.4Si-0.1Hf-0.08C-0.01Zr-0.08B,CoWAlloy1,"Neumeier, S., Freund, L. P. & Göken, M. Novel wrought ?/?? cobalt base superalloys with high strength and improved oxidation resistance. Scr. Mater. 109, 104–107 (2015).",880,800,unreported,1,compression,195,42.33,32,6,12,3,2.5,1.5,0,0,0,0.08,0.01,0.08,0,0,0.4,0,0,0.1,0,0,0,0,0,0
Co-2.Ti-2.Ta-12.V,Co-12V-2Ta-2Ti,"Ruan, J. et al. Accelerated design of novel W-free high-strength Co-base superalloys with extremely wide ?/?? region by machine learning and CALPHAD methods. Acta Mater. 186, 425–433 (2020).",877,25,0.0001,1,compression,411,84,0,0,0,0,2,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.4Ni-9.5Al-2.4Nb-5.3Mo-2.Re,Co2Nb2r,"Pandey, P. et al. On the effect of Re addition on microstructural evolution of a CoNi-based superalloy. Acta Mater. 168, 37–51 (2019).",872,870,0.001,1,compression,384,50.4,30.4,9.5,0,0,0,0,2.4,0,5.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Co-9.3Al-10.4W,Co-9.3Al-10.4W,"Shinagawa, K., Omori, T., Oikawa, K., Kainuma, R. & Ishida, K. Ductility enhancement by boron addition in Co-Al-W high-temperature alloys. Scr. Mater. 61, 612–615 (2009).",870,870,0.0002,1,compression,486,80.3,0,9.3,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-12.Ti-3.Re,Re3,"Li, L. et al. Effect of Re on microstructure and mechanical properties of ?/?? Co-Ti-based superalloys. Intermetallics 115, (2019).",862,600,0.0001,1,compression,272,85,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-4.Al-12.Cr-2.W-4.9Ti-1.Ta-1.5Mo-0.4Si-0.1Hf-0.07C-0.01Zr-0.09B,4Al-4.9Ti,"Zhang, Y. Y. Y. Y., Fu, H., Zhou, X., Zhang, Y. Y. Y. Y. & Xie, J. Enhanced mechanical properties of wrought ??-strengthened Co-base superalloys by adjusting the relative content of Al and Ti. Intermetallics 112, 106543 (2019).",861,750,0.0001,1,compression,671,43.92,30,4,12,2,4.9,1,0,0,1.5,0.07,0.01,0.09,0,0,0.41,0,0,0.1,0,0,0,0,0,0
Co-9.3Al-10.4W-0.02B,Co-9.3Al-10.4W-0.02B,"Shinagawa, K., Omori, T., Oikawa, K., Kainuma, R. & Ishida, K. Ductility enhancement by boron addition in Co-Al-W high-temperature alloys. Scr. Mater. 61, 612–615 (2009).",860,25,0.0002,1,compression,487,80.28,0,9.3,0,10.4,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
Co-4.1Ti-2.2Nb-10.1V,CVTN,"Liu, X. et al. Effects of Nb and W additions on the microstructures and mechanical properties of novel ?/?’ Co-V-Ti-based superalloys. Metals (Basel). 8, (2018).",855,25,0.0001,1,compression,292,83.6,0,0,0,0,4.1,0,2.2,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-5.5Al-12.Cr-2.W-4.2Ti-1.Ta-1.5Mo-0.4Si-0.1Hf-0.07C-0.01Zr-0.09B,5.5Al-4.2Ti,"Zhang, Y. Y. Y. Y., Fu, H., Zhou, X., Zhang, Y. Y. Y. Y. & Xie, J. Enhanced mechanical properties of wrought ??-strengthened Co-base superalloys by adjusting the relative content of Al and Ti. Intermetallics 112, 106543 (2019).",847,750,0.0001,1,compression,672,43.135,30,5.5,12,2,4.2,1,0,0,1.5,0.071,0.009,0.085,0,0,0.39,0,0,0.11,0,0,0,0,0,0
Co-12.Ti-1.Re,Re1,"Li, L. et al. Effect of Re on microstructure and mechanical properties of ?/?? Co-Ti-based superalloys. Intermetallics 115, (2019).",845,25,0.0001,1,compression,271,87,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Co-12.Ti-5.Re,Re5,"Li, L. et al. Effect of Re on microstructure and mechanical properties of ?/?? Co-Ti-based superalloys. Intermetallics 115, (2019).",841,700,0.0001,1,compression,273,83,0,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Co-34.2Ni-10.5Al-14.8Cr-3.W-1.Ta-0.15C-0.04Zr-0.2B,V208C,"Knop, M. et al. A New Polycrystalline Co-Ni Superalloy. JOM 66, 2495–2501 (2014)",840,750,0.001,1,,231,36.11,34.2,10.5,14.8,3,0,1,0,0,0,0.15,0.04,0.2,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.2Al-9.5W-0.02B,Co-9.2Al-9.5W-0.02,"Shinagawa, K., Omori, T., Oikawa, K., Kainuma, R. & Ishida, K. Ductility enhancement by boron addition in Co-Al-W high-temperature alloys. Scr. Mater. 61, 612–615 (2009).",840,25,0.0002,1,compression,489,81.28,0,9.2,0,9.5,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
Co-12.Ti-3.Re,Re3,"Li, L. et al. Effect of Re on microstructure and mechanical properties of ?/?? Co-Ti-based superalloys. Intermetallics 115, (2019).",838,700,0.0001,1,compression,272,85,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-2.Ti-4.Ta-5.V,Co-30Ni-10Al-5V-4Ta-Ti,"Chen, Y., Wang, C., Ruan, J., Omori, T., Kainuma, R., Ishida, K., & Liu, X. (2019). High-strength Co–Al–V-base superalloys strengthened by ??-Co 3 (Al,V) with high solvus temperature. Acta Materialia, 170, 62–74. https://doi.org/10.1016/j.actamat.2019.03.032",837,700,0.0001,1,compression,112,49,30,10,0,0,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-4.Al-12.Cr-2.W-4.9Ti-1.Ta-1.5Mo-0.4Si-0.1Hf-0.07C-0.01Zr-0.09B,4Al-4.9Ti,"Zhang, Y. Y. Y. Y., Fu, H., Zhou, X., Zhang, Y. Y. Y. Y. & Xie, J. Enhanced mechanical properties of wrought ??-strengthened Co-base superalloys by adjusting the relative content of Al and Ti. Intermetallics 112, 106543 (2019).",826,800,0.0001,1,compression,671,43.92,30,4,12,2,4.9,1,0,0,1.5,0.07,0.01,0.09,0,0,0.41,0,0,0.1,0,0,0,0,0,0
Co-5.6Al-5.8W-6.6Ti-0.12B,Co-5.6Al-5.8W- 6.6Ti-0.12B,"Sauza, D. J., Dunand, D. C. & Seidman, D. N. Microstructural evolution and high-temperature strength of a ?(f.c.c.)/?’(L12) Co–Al–W–Ti–B superalloy. Acta Mater. 174, 427–438 (2019).",823,800,0.0001,1,compression,753,81.88,0,5.6,0,5.8,6.6,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-34.2Ni-10.5Al-14.8Cr-3.W-1.Ta-0.15C-0.04Zr-0.2B,V208C,"Knop, M. et al. A New Polycrystalline Co-Ni Superalloy. JOM 66, 2495–2501 (2014)",820,700,0.001,1,,231,36.11,34.2,10.5,14.8,3,0,1,0,0,0,0.15,0.04,0.2,0,0,0,0,0,0,0,0,0,0,0,0
Co-34.2Ni-10.5Al-14.8Cr-3.W-1.Ta-0.15C-0.04Zr-0.2B,V208C,"Knop, M. et al. A New Polycrystalline Co-Ni Superalloy. JOM 66, 2495–2501 (2014)",820,800,0.001,1,,231,36.11,34.2,10.5,14.8,3,0,1,0,0,0,0.15,0.04,0.2,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-5.5Al-12.Cr-2.W-4.2Ti-1.Ta-1.5Mo-0.4Si-0.1Hf-0.07C-0.01Zr-0.09B,5.5Al-4.2Ti,"Zhang, Y. Y. Y. Y., Fu, H., Zhou, X., Zhang, Y. Y. Y. Y. & Xie, J. Enhanced mechanical properties of wrought ??-strengthened Co-base superalloys by adjusting the relative content of Al and Ti. Intermetallics 112, 106543 (2019).",819,800,0.0001,1,compression,672,43.135,30,5.5,12,2,4.2,1,0,0,1.5,0.071,0.009,0.085,0,0,0.39,0,0,0.11,0,0,0,0,0,0
Co-5.6Al-5.8W-6.6Ti-0.12B,Co-5.6Al-5.8W- 6.6Ti-0.12B,"Sauza, D. J., Dunand, D. C. & Seidman, D. N. Microstructural evolution and high-temperature strength of a ?(f.c.c.)/?’(L12) Co–Al–W–Ti–B superalloy. Acta Mater. 174, 427–438 (2019).",816,25,0.0001,1,compression,753,81.88,0,5.6,0,5.8,6.6,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.Ni-5.Ti-15.V,Co-5Ti-15V-2Ni,"Ruan, J. J. et al. Novel Co-Ti-V-base superalloys reinforced by L12-ordered ?? phase. Intermetallics 92, 126–132 (2018).",815,25,0.0001,1,compression,442,78,2,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-2.Ti-4.Ta-5.V,Co-30Ni-10Al-5V-4Ta-Ti,"Chen, Y., Wang, C., Ruan, J., Omori, T., Kainuma, R., Ishida, K., & Liu, X. (2019). High-strength Co–Al–V-base superalloys strengthened by ??-Co 3 (Al,V) with high solvus temperature. Acta Materialia, 170, 62–74. https://doi.org/10.1016/j.actamat.2019.03.033",815,750,0.0001,1,compression,112,49,30,10,0,0,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-5.6Al-5.8W-6.6Ti-0.12B,Co-5.6Al-5.8W- 6.6Ti-0.12B,"Sauza, D. J., Dunand, D. C. & Seidman, D. N. Microstructural evolution and high-temperature strength of a ?(f.c.c.)/?’(L12) Co–Al–W–Ti–B superalloy. Acta Mater. 174, 427–438 (2019).",810,850,0.0001,1,compression,753,81.88,0,5.6,0,5.8,6.6,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.Ni-4.5Al-5.2W-7.8Ti,10Ni-5A-5W-8Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",807,750,0.0001,1,,67,72.5,10,4.5,0,5.2,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-31.8Ni-8.7Al-12.6Cr-4.7W-0.3Ti-0.2Ta-0.4Si-0.1Hf-0.08C-0.01Zr-0.08B,CoWAlloy2,"Neumeier, S., Freund, L. P. & Göken, M. Novel wrought ?/?? cobalt base superalloys with high strength and improved oxidation resistance. Scr. Mater. 109, 104–107 (2015).",806,600,unreported,1,compression,196,41.03,31.8,8.7,12.6,4.7,0.3,0.2,0,0,0,0.08,0.01,0.08,0,0,0.4,0,0,0.1,0,0,0,0,0,0
Co-31.8Ni-8.7Al-12.6Cr-4.7W-0.3Ti-0.2Ta-0.4Si-0.1Hf-0.08C-0.01Zr-0.08B,CoWAlloy2,"Neumeier, S., Freund, L. P. & Göken, M. Novel wrought ?/?? cobalt base superalloys with high strength and improved oxidation resistance. Scr. Mater. 109, 104–107 (2015).",797,750,unreported,1,compression,196,41.03,31.8,8.7,12.6,4.7,0.3,0.2,0,0,0,0.08,0.01,0.08,0,0,0.4,0,0,0.1,0,0,0,0,0,0
Co-34.2Ni-10.5Al-14.8Cr-3.W-1.Ta-0.15C-0.04Zr-0.2B,V208C,"Knop, M. et al. A New Polycrystalline Co-Ni Superalloy. JOM 66, 2495–2501 (2014)",790,650,0.001,1,,231,36.11,34.2,10.5,14.8,3,0,1,0,0,0,0.15,0.04,0.2,0,0,0,0,0,0,0,0,0,0,0,0
Co-5.6Al-5.8W-6.6Ti-0.12B,Co-5.6Al-5.8W- 6.6Ti-0.12B,"Sauza, D. J., Dunand, D. C. & Seidman, D. N. Microstructural evolution and high-temperature strength of a ?(f.c.c.)/?’(L12) Co–Al–W–Ti–B superalloy. Acta Mater. 174, 427–438 (2019).",784,750,0.0001,1,compression,753,81.88,0,5.6,0,5.8,6.6,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.Ni-4.5Al-5.2W-7.8Ti,10Ni-5A-5W-8Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",776,800,0.0001,1,,67,72.5,10,4.5,0,5.2,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-35.4Ni-9.7Al-6.Cr-3.4Ti-2.8Ta-4.8Mo,HEACoNi,"Pandey, P., Kashyap, S., Palanisamy, D., Sharma, A. & Chattopadhyay, K. On the high temperature coarsening kinetics of ?? precipitates in a high strength Co37.6Ni35.4Al9.9Mo4.9Cr5.9Ta2.8Ti3.5 fcc-based high entropy alloy. Acta Mater. 177, 82–95 (2019).",770,770,0.001,1,compression,385,37.9,35.4,9.7,6,0,3.4,2.8,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.3Al-10.4W,Co-9.3Al-10.4W,"Shinagawa, K., Omori, T., Oikawa, K., Kainuma, R. & Ishida, K. Ductility enhancement by boron addition in Co-Al-W high-temperature alloys. Scr. Mater. 61, 612–615 (2009).",767,25,0.0002,1,compression,486,80.3,0,9.3,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.Al-2.Ta-12.V,Co-12V-2Ta-2Al,"Ruan, J. et al. Accelerated design of novel W-free high-strength Co-base superalloys with extremely wide ?/?? region by machine learning and CALPHAD methods. Acta Mater. 186, 425–433 (2020).",766,25,0.0001,1,compression,438,84,0,2,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-35.4Ni-9.7Al-6.Cr-3.4Ti-2.8Ta-4.8Mo,HEACoNi,"Pandey, P., Kashyap, S., Palanisamy, D., Sharma, A. & Chattopadhyay, K. On the high temperature coarsening kinetics of ?? precipitates in a high strength Co37.6Ni35.4Al9.9Mo4.9Cr5.9Ta2.8Ti3.5 fcc-based high entropy alloy. Acta Mater. 177, 82–95 (2019).",765,25,0.001,1,compression,385,37.9,35.4,9.7,6,0,3.4,2.8,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-7.Al-12.Cr-2.W-3.5Ti-1.Ta-1.5Mo-0.4Si-0.1Hf-0.08C-0.01Zr-0.09B,7Al-3.5Ti,"Zhang, Y. Y. Y. Y., Fu, H., Zhou, X., Zhang, Y. Y. Y. Y. & Xie, J. Enhanced mechanical properties of wrought ??-strengthened Co-base superalloys by adjusting the relative content of Al and Ti. Intermetallics 112, 106543 (2019).",764,800,0.0001,1,compression,674,42.326,30,7,12,2,3.5,1,0,0,1.5,0.08,0.009,0.085,0,0,0.39,0,0,0.11,0,0,0,0,0,0
Co-35.4Ni-9.7Al-6.Cr-3.4Ti-2.8Ta-4.8Mo,HEACoNi,"Pandey, P., Kashyap, S., Palanisamy, D., Sharma, A. & Chattopadhyay, K. On the high temperature coarsening kinetics of ?? precipitates in a high strength Co37.6Ni35.4Al9.9Mo4.9Cr5.9Ta2.8Ti3.5 fcc-based high entropy alloy. Acta Mater. 177, 82–95 (2019).",761,470,0.001,1,compression,385,37.9,35.4,9.7,6,0,3.4,2.8,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.2Ni-5.4Al-6.1W-5.9Ti,10Ni-6A-6W-6Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",760,750,0.0001,1,,68,72.4,10.2,5.4,0,6.1,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.Ni-4.5Al-5.2W-7.8Ti,10Ni-5A-5W-8Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",760,25,0.0001,1,,67,72.5,10,4.5,0,5.2,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-12.Ti-1.Re,Re1,"Li, L. et al. Effect of Re on microstructure and mechanical properties of ?/?? Co-Ti-based superalloys. Intermetallics 115, (2019).",760,600,0.0001,1,compression,271,87,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Co-5.Ti-15.V,Co-5Ti-15V,"Ruan, J. J. et al. Novel Co-Ti-V-base superalloys reinforced by L12-ordered ?? phase. Intermetallics 92, 126–132 (2018).",755,25,0.0001,1,compression,440,80,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.Ni-5.Ti-15.V,Co-5Ti-15V-2Ni,"Ruan, J. J. et al. Novel Co-Ti-V-base superalloys reinforced by L12-ordered ?? phase. Intermetallics 92, 126–132 (2018).",752,544,0.0001,1,compression,442,78,2,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-31.1Ni-10.6Al-10.7Cr-1.9Ta-1.Nb-4.Mo-0.31C-0.04Zr-0.19B,2Ta1Nb,"Baler, N., Pandey, P., Palanisamy, D., Makineni, S. K., Phanikumar, G., & Chattopadhyay, K. (2020). On the effect of W addition on microstructural evolution and ?? precipitate coarsening in a Co–30Ni–10Al–5Mo–2Ta–2Ti alloy. Materialia, 10. https://doi.org/10.1016/j.mtla.2020.100635",750,750,0.001,1,"compression, from arc melting",7,40.26,31.07,10.6,10.67,0,0,1.88,0.99,0,3.99,0.31,0.04,0.19,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-2.Ti-5.Mo,2Nb2Ti,"Baler, N., Pandey, P., Singh, M. P., Makineni, S. K. & Chattopadhyay, K. Effects of Ti and Cr Additions in a Co–Ni–Al–Mo–Nb-Based Superalloy. in 929–936 (2020). doi:10.1007/978-3-030-51834-9_91.",747.9,25,0.001,1,,781,53,30,10,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.2Ni-5.4Al-6.1W-5.9Ti,10Ni-6A-6W-6Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",745,25,0.0001,1,,68,72.4,10.2,5.4,0,6.1,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-4.2Ti-12.1V,CVT-1,"Liu, X. et al. Effects of Nb and W additions on the microstructures and mechanical properties of novel ?/?’ Co-V-Ti-based superalloys. Metals (Basel). 8, (2018).",745,25,0.0001,1,compression,291,83.7,0,0,0,0,4.2,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.2Al-9.5W,Co-9.2Al-9.5W,"Shinagawa, K., Omori, T., Oikawa, K., Kainuma, R. & Ishida, K. Ductility enhancement by boron addition in Co-Al-W high-temperature alloys. Scr. Mater. 61, 612–615 (2009).",743,25,0.0002,1,compression,488,81.3,0,9.2,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-2.Ti-4.Ta-5.V,Co-30Ni-10Al-5V-4Ta-Ti,"Chen, Y., Wang, C., Ruan, J., Omori, T., Kainuma, R., Ishida, K., & Liu, X. (2019). High-strength Co–Al–V-base superalloys strengthened by ??-Co 3 (Al,V) with high solvus temperature. Acta Materialia, 170, 62–74. https://doi.org/10.1016/j.actamat.2019.03.030",743,500,0.0001,1,compression,112,49,30,10,0,0,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.4Ni-9.5Al-2.4Nb-5.3Mo-2.Re,Co2Nb2r,"Pandey, P. et al. On the effect of Re addition on microstructural evolution of a CoNi-based superalloy. Acta Mater. 168, 37–51 (2019).",741,25,0.001,1,compression,384,50.4,30.4,9.5,0,0,0,0,2.4,0,5.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Co-10.3Ni-6.3Al-7.W-4.1Ti,10Ni-7A-7W-4Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",735,25,0.0001,1,,69,72.3,10.3,6.3,0,7,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-2.Nb-5.Mo,2Nb,"Baler, N., Pandey, P., Singh, M. P., Makineni, S. K. & Chattopadhyay, K. Effects of Ti and Cr Additions in a Co–Ni–Al–Mo–Nb-Based Superalloy. in 929–936 (2020). doi:10.1007/978-3-030-51834-9_91.",734.3,25,0.001,1,,779,53,30,10,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
