Shortname,Name,Paper,solvus,solidus,liquidus,Index,Co,Ni,Al,Cr,W,Ti,Ta,Nb,V,Mo,C,Zr,B,Ir,Re,Si,Fe,Y,Hf,Ge,Mn,Sc,Ru,Ce,Nd
Co-8.1Al-9.1W-1.7Ta-2.5Ir,8W-2Ta-2Ir,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch84",1137,1426,1454,21000,78.6,0,8.1,0,9.1,0,1.7,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
Co-8.7Al-5.5W-1.3Ta-0.9Ir,5W-2Ta-2Ir,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch85",1060,1418,1452,23,83.6,0,8.7,0,5.5,0,1.3,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0
Co-8.Fe-7.5Al-8.8W,9W-8Fe-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch86",932,1431,1453,33,75.7,0,7.5,0,8.8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Co-16.7Fe-8.6Al-8.6W,9W-16Fe-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch87",877,1427,1450,34,66.1,0,8.6,0,8.6,0,0,0,0,0,0,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0
Co-8.1Al-8.4W-2.Ta,2Ta,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400266",1101,1414,1439,15,81.5,0,8.1,0,8.4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-9.1W-1.7Ta-2.5Ir,2Ta2Ir,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400267",1137,1426,1454,21000,78.6,0,8.1,0,9.1,0,1.7,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
Co-8.7Al-5.5W-1.3Ta-0.9Ir,5W2Ta2Ir,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400268",1060,1418,1452,23,83.6,0,8.7,0,5.5,0,1.3,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-9.3W-2.Ta-0.12B,2Ta-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400270",1097,1410,1434,39,79.68,0,8.9,0,9.3,0,2,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-8.4W,9W,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.083",963,1445,1469,9,83.5,0,8.1,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.5Al-9.6W,9W(SX),"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.084",985,1441,1466,41,81.9,0,8.5,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-9.7W-0.04B,9W-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.085",986,1440,1467,42,81.86,0,8.4,0,9.7,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-9.5W-0.08B,9W-0.08B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.086",984,1439,1465,43,81.52,0,8.9,0,9.5,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.3Al-9.4W-0.12B,9W-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.087",982,1444,1469,44,82.18,0,8.3,0,9.4,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-8.5W-2.2Ta-0.08B,8W-2Ta-0.08B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.088",1101,1414,1439,45,80.32,0,8.9,0,8.5,0,2.2,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-9.3W-2.Ta-0.12B,8W-2Ta-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.089",1097,1410,1434,39,79.68,0,8.9,0,9.3,0,2,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.Al-6.7W-1.4Ta-1.4Nb,8W-2Ta-2Nb,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.090",1079,1390,1411,47,82.5,0,8,0,6.7,0,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.2Al-9.4W-0.4Nb,9W-0.5Nb,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.091",1011,1430,1459,48,82,0,8.2,0,9.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.4Al-10.2W-1.8Nb,10W-2Nb,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.092",1064,1377,1426,10,78.6,0,9.4,0,10.2,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.2Al-9.4W-1.1Mo-0.04B,9W-1Mo-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.093",994,1436,1461,50,81.26,0,8.2,0,9.4,0,0,0,0,1.1,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.2Al-9.6W-1.5Ta-1.8Mo,8W-2Ta-2Mo,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.094",1082,1398,1417,51,78.9,0,8.2,0,9.6,0,1.5,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-10.1W-0.5Si,10W-0.5Si,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.095",989,1434,1462,52,81,0,8.4,0,10.1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
Co-8.7Al-10.3W-2.Si,10W-2Si,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.096",998,1414,1449,53,79,0,8.7,0,10.3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Co-8.1Al-7.7W-1.6Ta-1.8Si,8W-2Ta-2Si,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.097",1054,1392,1413,18,80.8,0,8.1,0,7.7,0,1.6,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0
Co-7.6Al-9.2W-2.1Ti-1.9Ta,8W-2Ta-2Ti,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.098",1153,1392,1411,55,79.2,0,7.6,0,9.2,2.1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-7.9Al-9.1W-2.1Ti-0.04B,9W-2Ti-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.099",1075,1413,1438,56,80.86,0,7.9,0,9.1,2.1,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-9.6W-2.2Ti-0.12B,9W-2Ti-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.100",1080,1414,1434,57,79.68,0,8.4,0,9.6,2.2,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.Al-9.3W-2.1V-0.04B,9W-2V-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.101",1016,1430,1456,58,80.56,0,8,0,9.3,0,0,0,2.1,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-2.Cr-9.4W-0.04B,9W-2Cr-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.102",975,1439,1464,59,80.46,0,8.1,2,9.4,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.Ni-4.5Al-5.2W-7.8Ti,10Ni-5A-5W-8Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",1137,1277,1383,67,72.5,10,4.5,0,5.2,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.2Ni-5.4Al-6.1W-5.9Ti,10Ni-6A-6W-6Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",1109,1322,1409,68,72.4,10.2,5.4,0,6.1,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.1Ni-5.2Al-6.7W-6.4Ti,10Ni-6Al-6W-6Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",1109,1322,1409,65,71.6,10.1,5.2,0,6.7,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.3Ni-6.3Al-7.W-4.1Ti,10Ni-7A-7W-4Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",1060,1371,1436,69,72.3,10.3,6.3,0,7,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.2Ni-7.3Al-8.W-2.2Ti,10Ni-8A-8W-2Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",1035,1398,1458,70,72.3,10.2,7.3,0,8,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.1Ni-5.7Al-3.9W-6.2Ti,10Ni-6Al-4W-6Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",1031,1316,1382,78,74.1,10.1,5.7,0,3.9,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.2Ni-8.1Al-8.9W-0.Ti,10Ni-9A-9W-0Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",982,1459,1489,71,72.8,10.2,8.1,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.Ni-5.9Al-2.W-6.1Ti,10Ni-6Al-2W-6Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",927,1312,1380,79,76,10,5.9,0,2,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.Ni-5.8Al-6.2Ti,10Ni-6Al-0W-6Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",850,1310,1378,77,78,10,5.8,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-11.7Al-14.W-0.5Ti-0.4Ta,Co-2T/Ta-quinary,"Casas, R., Gálvez, F., & Campos, M. (2018). Microstructural development of powder metallurgy cobalt-based superalloys processed by field assisted sintering techniques (FAST). Materials Science and Engineering A, 724, 461–468. https://doi.org/10.1016/j.msea.2018.04.005",1100,,1372,84,73.4,0,11.7,0,14.01,0.48,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-12.1W,CoAlW-ternary,"Casas, R., Gálvez, F., & Campos, M. (2018). Microstructural development of powder metallurgy cobalt-based superalloys processed by field assisted sintering techniques (FAST). Materials Science and Engineering A, 724, 461–468. https://doi.org/10.1016/j.msea.2018.04.004",1010,,1445,85,79.57,0,8.35,0,12.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-2.Ti-4.Ta-5.V,Co-30Ni-10Al-5V-4Ta-Ti,"Chen, Y., Wang, C., Ruan, J., Omori, T., Kainuma, R., Ishida, K., & Liu, X. (2019). High-strength Co–Al–V-base superalloys strengthened by ??-Co 3 (Al,V) with high solvus temperature. Acta Materialia, 170, 62–74. https://doi.org/10.1016/j.actamat.2019.03.031",1242,1313,1367,112,49,30,10,0,0,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-2.Ti-4.Ta-5.V,Co-30Ni-10Al-5V-4Ta,"Chen, Y., Wang, C., Ruan, J., Omori, T., Kainuma, R., Ishida, K., & Liu, X. (2019). High-strength Co–Al–V-base superalloys strengthened by ??-Co 3 (Al,V) with high solvus temperature. Acta Materialia, 170, 62–74. https://doi.org/10.1016/j.actamat.2019.03.030",1172,1349,1395,112,49,30,10,0,0,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-7.5Al-4.Ta-7.5V,Co-30Ni-7.5Al-7.5V-4Ta,"Chen, Y., Wang, C., Ruan, J., Omori, T., Kainuma, R., Ishida, K., & Liu, X. (2019). High-strength Co–Al–V-base superalloys strengthened by ??-Co 3 (Al,V) with high solvus temperature. Acta Materialia, 170, 62–74. https://doi.org/10.1016/j.actamat.2019.03.029",1148,1349,1395,110,51,30,7.5,0,0,0,4,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-5.Al-4.Ta-10.V,Co-30Ni-5Al-10V-4Ta,"Chen, Y., Wang, C., Ruan, J., Omori, T., Kainuma, R., Ishida, K., & Liu, X. (2019). High-strength Co–Al–V-base superalloys strengthened by ??-Co 3 (Al,V) with high solvus temperature. Acta Materialia, 170, 62–74. https://doi.org/10.1016/j.actamat.2019.03.028",1119,1349,1395,109,51,30,5,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-5.Al-2.Ta-14.V,Co-5Al-14V-2Ta,"Chen, Y., Wang, C., Ruan, J., Omori, T., Kainuma, R., Ishida, K., & Liu, X. (2019). High-strength Co–Al–V-base superalloys strengthened by ??-Co 3 (Al,V) with high solvus temperature. Acta Materialia, 170, 62–74. https://doi.org/10.1016/j.actamat.2019.03.023",1070,1354,1411,103,79,0,5,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
