Shortname,name,Paper,Stress (MPa),Strain Rate (min) /s,Time to 1% strain (s),log(time),Temperature C,ID-curve,Sol. Temp (ºC),Sol. Time (h),1 age temp (ºC),1 age time (h),2 age temp (ºC),2 age time (hr),C/T,Orientation,VolFrac (%),Notes,IndexRef,Co,Ni,Al,Cr,W,Ti,Ta,Nb,V,Mo,C,Zr,B,Ir,Re,Si,Fe,Y,Hf,Ge,Mn,Sc,Ru,Ce,Nd
Co-8.1Al-7.7W-1.6Ta-1.8Si,8W-2Ta-2Si,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.092",450,3.11E-06,3218.953196,3.507714662,850,18-1,1300,12,900,200,,,1,10,53,,18,80.8,0,8.1,0,7.7,0,1.6,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0
Co-8.6Al-4.1Cr-9.5W,9W-4Cr-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch77",350,2.27E-07,44111.16012,4.64454848,850,24-1,1300,12,900,200,,,1,10,83,,24,77.8,0,8.6,4.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.6Al-4.1Cr-9.5W,9W-4Cr-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch77",400,9.57E-07,10453.79943,4.019274163,850,24-1,1300,12,900,200,,,1,10,83,,24,77.8,0,8.6,4.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.6Al-4.1Cr-9.5W,9W-4Cr-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch77",450,6.11E-06,1637.304342,3.214129414,850,24-1,1300,12,900,200,,,1,10,83,,24,77.8,0,8.6,4.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.6Al-4.1Cr-9.5W,9W-4Cr-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch80",200,0.000023907,418.2875308,2.621474918,950,24-1,1300,12,900,200,,,1,10,83,,24,77.8,0,8.6,4.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.7Al-8.2Cr-9.6W,9W-8Cr-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch78",350,1.63E-06,6137.605106,3.787998942,850,25-1,1300,12,900,200,,,1,10,83,,25,73.5,0,8.7,8.2,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.7Al-8.2Cr-9.6W,9W-8Cr-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch78",400,4.28E-06,2335.139174,3.36831277,850,25-1,1300,12,900,200,,,1,10,83,,25,73.5,0,8.7,8.2,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.7Al-8.2Cr-9.6W,9W-8Cr-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch78",450,0.000011942,837.3806733,2.922922933,850,25-1,1300,12,900,200,,,1,10,83,,25,73.5,0,8.7,8.2,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.7Al-8.2Cr-9.6W,9W-8Cr-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch81",80,6.43E-07,15562.99121,4.192093072,950,25-1,1300,12,900,200,,,1,10,83,,25,73.5,0,8.7,8.2,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.7Al-8.2Cr-9.6W,9W-8Cr-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch81",110,6.86E-06,1458.278648,3.163840517,950,25-1,1300,12,900,200,,,1,10,83,,25,73.5,0,8.7,8.2,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.5Al-9.7W-1.3Ta-1.8Ir-0.12B,2Ta2Ir-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400269",500,1.72E-08,581395.3488,5.764471553,850,38-1,1300,12,900,50,,,1,10,75,"compression, Aged 50hr 900C, 4% discontinous transformation ",38,77.58,0,9.5,0,9.7,0,1.3,0,0,0,0,0,0.12,1.8,0,0,0,0,0,0,0,0,0,0,0
Co-9.5Al-9.7W-1.3Ta-1.8Ir-0.12B,2Ta2Ir-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400270",600,0.000000197,50761.42132,4.705533774,850,38-1,1300,12,900,50,,,1,10,75,,38,77.58,0,9.5,0,9.7,0,1.3,0,0,0,0,0,0.12,1.8,0,0,0,0,0,0,0,0,0,0,0
Co-9.5Al-9.7W-1.3Ta-1.8Ir-0.12B,2Ta2Ir-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400271",700,0.000001,10000,4,850,38-1,1300,12,900,50,,,1,10,75,,38,77.58,0,9.5,0,9.7,0,1.3,0,0,0,0,0,0.12,1.8,0,0,0,0,0,0,0,0,0,0,0
Co-9.5Al-9.7W-1.3Ta-1.8Ir-0.12B,2Ta2Ir-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400272",250,4.75E-08,210526.3158,5.32330639,850,38-2,1300,12,900,200,,,1,10,50,"compression, Aged 200hr, 31% discontinuos transformation",38,77.58,0,9.5,0,9.7,0,1.3,0,0,0,0,0,0.12,1.8,0,0,0,0,0,0,0,0,0,0,0
Co-9.5Al-9.7W-1.3Ta-1.8Ir-0.12B,2Ta2Ir-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400273",350,0.000000459,21786.49237,4.338187314,850,38-2,1300,12,900,200,,,1,10,50,,38,77.58,0,9.5,0,9.7,0,1.3,0,0,0,0,0,0.12,1.8,0,0,0,0,0,0,0,0,0,0,0
Co-9.5Al-9.7W-1.3Ta-1.8Ir-0.12B,2Ta2Ir-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400274",400,0.00000111,9009.009009,3.954677021,850,38-2,1300,12,900,200,,,1,10,50,,38,77.58,0,9.5,0,9.7,0,1.3,0,0,0,0,0,0.12,1.8,0,0,0,0,0,0,0,0,0,0,0
Co-9.5Al-9.7W-1.3Ta-1.8Ir-0.12B,2Ta2Ir-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400275",450,0.00000241,4149.377593,3.617982957,850,38-2,1300,12,900,200,,,1,10,50,,38,77.58,0,9.5,0,9.7,0,1.3,0,0,0,0,0,0.12,1.8,0,0,0,0,0,0,0,0,0,0,0
Co-9.5Al-9.7W-1.3Ta-1.8Ir-0.12B,2Ta2Ir-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400276",200,0.000000844,11848.34123,4.073657553,850,38-3,1300,12,900,400,,,1,10,0,"compression, Aged 400hr,91% discontinuous transformation",38,77.58,0,9.5,0,9.7,0,1.3,0,0,0,0,0,0.12,1.8,0,0,0,0,0,0,0,0,0,0,0
Co-9.5Al-9.7W-1.3Ta-1.8Ir-0.12B,2Ta2Ir-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400277",250,0.00000197,5076.142132,3.705533774,850,38-3,1300,12,900,400,,,1,10,0,,38,77.58,0,9.5,0,9.7,0,1.3,0,0,0,0,0,0.12,1.8,0,0,0,0,0,0,0,0,0,0,0
Co-9.5Al-9.7W-1.3Ta-1.8Ir-0.12B,2Ta2Ir-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400278",300,0.00000444,2252.252252,3.35261703,850,38-3,1300,12,900,400,,,1,10,0,,38,77.58,0,9.5,0,9.7,0,1.3,0,0,0,0,0,0.12,1.8,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-9.3W-2.Ta-0.12B,9W-2Ta-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch82",150,9.37E-08,106720.169,5.028246504,950,39-1,1300,12,900,200,,,1,10,82,,39,79.68,0,8.9,0,9.3,0,2,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-9.3W-2.Ta-0.12B,9W-2Ta-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch82",200,7.32E-07,13664.56232,4.135595726,950,39-1,1300,12,900,200,,,1,10,82,,39,79.68,0,8.9,0,9.3,0,2,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-9.3W-2.Ta-0.12B,9W-2Ta-0.12B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch82",250,6.68E-06,1496.714711,3.175139027,950,39-1,1300,12,900,200,,,1,10,82,,39,79.68,0,8.9,0,9.3,0,2,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-9.3W-2.Ta-0.12B,2Ta-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400279",410,3.62E-08,276243.0939,5.441291429,850,39-1,1300,12,900,50,,,1,10,75,"compression, aged 50hr, no discontinuous precipitation",39,79.68,0,8.9,0,9.3,0,2,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-9.3W-2.Ta-0.12B,2Ta-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400280",510,0.00000023,43478.26087,4.638272164,850,39-1,1300,12,900,50,,,1,10,75,,39,79.68,0,8.9,0,9.3,0,2,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-9.3W-2.Ta-0.12B,2Ta-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400281",610,0.00000232,4310.344828,3.634512015,850,39-1,1300,12,900,50,,,1,10,75,,39,79.68,0,8.9,0,9.3,0,2,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-9.3W-2.Ta-0.12B,2Ta-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400281",360,3.39E-08,294985.2507,5.469800302,850,39-2,1300,12,900,200,,,1,10,75,"compression, aged 200hr, no DP",39,79.68,0,8.9,0,9.3,0,2,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-9.3W-2.Ta-0.12B,2Ta-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400281",410,0.000000157,63694.26752,4.804100348,850,39-2,1300,12,900,200,,,1,10,75,,39,79.68,0,8.9,0,9.3,0,2,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-9.3W-2.Ta-0.12B,2Ta-B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2015). Influence of iridium on the properties of ??-strengthened co-base superalloys. Advanced Engineering Materials, 17(6), 748–754. https://doi.org/10.1002/adem.201400281",460,0.0000012,8333.333333,3.920818754,850,39-2,1300,12,900,200,,,1,10,75,,39,79.68,0,8.9,0,9.3,0,2,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.5Al-9.6W,9W(SX),"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.084",350,6.67E-08,149925.0375,5.175874166,850,41-1,1300,12,900,200,,,1,1,58,,41,81.9,0,8.5,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.5Al-9.6W,9W(SX),"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.085",400,0.000000181,55248.61878,4.742321425,850,41-1,1300,12,900,200,,,1,1,58,,41,81.9,0,8.5,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.5Al-9.6W,9W(SX),"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.086",450,0.000000659,15174.50683,4.181114585,850,41-1,1300,12,900,200,,,1,1,58,,41,81.9,0,8.5,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-9.7W-0.04B,9W-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch79",250,0.00011998,83.34722454,1.920891142,950,42-1,1300,12,900,200,,,1,10,58,,42,81.86,0,8.4,0,9.7,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-9.7W-0.04B,9W-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch79",80,7.22E-08,138433.2129,5.141240299,950,42-1,1300,12,900,200,,,1,10,58,,42,81.86,0,8.4,0,9.7,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-9.7W-0.04B,9W-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch79",110,0.000001,10000,4,950,42-1,1300,12,900,200,,,1,10,58,,42,81.86,0,8.4,0,9.7,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-9.7W-0.04B,9W-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch79",140,5.79E-07,17269.96408,4.237291434,950,42-1,1300,12,900,200,,,1,10,58,,42,81.86,0,8.4,0,9.7,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-9.7W-0.04B,9W-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch79",150,5.29E-06,1891.646489,3.276839979,950,42-1,1300,12,900,200,,,1,10,58,,42,81.86,0,8.4,0,9.7,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-9.7W-0.04B,9W-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., & Göken, M. (2012). Creep Strength and Microstructure of Polycrystalline ?? - Strengthened Cobalt-Base Superalloys. In Superalloys 2012 (pp. 695–703). https://doi.org/10.1002/9781118516430.ch79",200,4.64E-06,2154.429507,3.333332289,950,42-1,1300,12,900,200,,,1,10,58,,42,81.86,0,8.4,0,9.7,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-9.7W-0.04B,9W-0.04B,"Bauer, A., Neumeier, S., Pyczak, F., Singer, R. F., & Göken, M. (2012). Creep properties of different ?’-strengthened Co-base superalloys. Materials Science and Engineering A, 550, 333–341. https://doi.org/10.1016/j.msea.2012.04.086",400,6.31E-08,158489.3192,5.2,850,42-2,1300,12,900,200,,,1,10,58,,42,81.86,0,8.4,0,9.7,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
