Shortname,Name,Paper,Temperature C,aging time,Vf,Notes,Index,Co,Ni,Al,Cr,W,Ti,Ta,Nb,V,Mo,C,Zr,B,Ir,Re,Si,Fe,Y,Hf,Ge,Mn,Sc,Ru,Ce,Nd
Co-30.2Ni-9.4Al-8.8Cr-4.4Ti-2.0Nb,10Al8Cr4Ti,"Pandey, P., Mazumder, N., Singh, M. P., Patil, C., Sharma, A., Makineni, S. K., Banerjee, D., & Chattopadhyay, K. (2021). Design of low mass density ?/?? CoNi-based superalloys with promising high-temperature mechanical properties. Physical Review Materials, 5(9). https://doi.org/10.1103/PhysRevMaterials.5.093606",900,50,58,,,45.2,30.2,9.4,8.8,0,4.4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.8Ni-9.4Al-12.8Cr-3.7Ti-2.0Nb,10Al12Cr4Ti,"Pandey, P., Mazumder, N., Singh, M. P., Patil, C., Sharma, A., Makineni, S. K., Banerjee, D., & Chattopadhyay, K. (2021). Design of low mass density ?/?? CoNi-based superalloys with promising high-temperature mechanical properties. Physical Review Materials, 5(9). https://doi.org/10.1103/PhysRevMaterials.5.093607",900,50,58,,,42.3,29.8,9.4,12.8,0,3.7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.0Ni-10.Al-6.0W,Co-20Ni-6W-10Al,"Park, H., Choe, H., & Dunand, D. C. (2021). Microstructure and compressive properties of 3D-extrusion-printed, aluminized cobalt-based superalloy microlattices. Materials Science and Engineering A, 815. https://doi.org/10.1016/j.msea.2021.141262",900,65,34.4,,,64,20,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-18.0Ni-13.Al-5.0W,Co-18Ni-5W-13Al,"Park, H., Choe, H., & Dunand, D. C. (2021). Microstructure and compressive properties of 3D-extrusion-printed, aluminized cobalt-based superalloy microlattices. Materials Science and Engineering A, 815. https://doi.org/10.1016/j.msea.2021.141263",900,65,57.6,,,64,18,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.2Ni-9.8Al-4.0W-3.9Ti-1.9Ta,4W2Ta,"Qu, S., Li, Y., Tong, M., Wang, C., & Yang, Y. (2021). Effects of 1 at.% Ta substitution for 1 at.% W on the coarsening kinetics and deformation behavior of ??-strengthened CoNi-base superalloys. Materials Science and Engineering A, 823. https://doi.org/10.1016/j.msea.2021.141776",1000,1000,80,,,50.12,30.2,9.83,0,4.02,3.93,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.0Ni-6.3Al-4.0Cr-2.5Ti-3.3Nb-3.8V-0.04B,Nb-1,"Reyes Tirado, F. L., & Dunand, D. C. (2021). Increasing ?’ volume fraction in Co–Nb–V- and Co–Ta–V-based superalloys. Journal of Materials Research and Technology, 11, 2305–2313. https://doi.org/10.1016/j.jmrt.2021.02.028",850,1000,71.7,,,70.16,10,6.25,4,0,2.5,0,3.3,3.75,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.0Ni-6.3Al-4.0Cr-2.5Ti-1.0Ta-3.3Nb-3.8V-0.04B,Nb-1-Ta,"Reyes Tirado, F. L., & Dunand, D. C. (2021). Increasing ?’ volume fraction in Co–Nb–V- and Co–Ta–V-based superalloys. Journal of Materials Research and Technology, 11, 2305–2313. https://doi.org/10.1016/j.jmrt.2021.02.029",850,500,71.5,,,69.16,10,6.25,4,0,2.5,1,3.3,3.75,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.0Ni-7.5Al-4.0Cr-3.0Ti-4.5Nb-4.5V-0.04B,Nb-2,"Reyes Tirado, F. L., & Dunand, D. C. (2021). Increasing ?’ volume fraction in Co–Nb–V- and Co–Ta–V-based superalloys. Journal of Materials Research and Technology, 11, 2305–2313. https://doi.org/10.1016/j.jmrt.2021.02.030",850,1000,73.1,,,66.46,10,7.5,4,0,3,0,4.5,4.5,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.0Ni-6.3Al-4.0Cr-2.5Ti-3.3Ta-3.8V-0.04B,Ta-1,"Reyes Tirado, F. L., & Dunand, D. C. (2021). Increasing ?’ volume fraction in Co–Nb–V- and Co–Ta–V-based superalloys. Journal of Materials Research and Technology, 11, 2305–2313. https://doi.org/10.1016/j.jmrt.2021.02.032",850,1000,68.1,,,70.16,10,6.25,4,0,2.5,3.3,0,3.75,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.7Ni-9.6Al-8.2Cr-1.8Nb-4.8Mo,Ti-0,"Roy, A., Singh, M. P., Das, S. M., Makineni, S. K., & Chattopadhyay, K. (2021). Role of Ti on Phase Evolution, Oxidation and Nitridation of Co–30Ni–10Al–8Cr–5Mo–2Nb–(0, 2 & 4) Ti Cobalt Base Superalloys at Elevated Temperature. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science, 52(11), 5004–5015. https://doi.org/10.1007/s11661-021-06445-9",900,50,60,,,45.9,29.7,9.6,8.2,0,0,0,1.8,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.7Ni-9.5Al-7.8Cr-2.1Ti-1.9Nb-4.7Mo,Ti-2,"Roy, A., Singh, M. P., Das, S. M., Makineni, S. K., & Chattopadhyay, K. (2021). Role of Ti on Phase Evolution, Oxidation and Nitridation of Co–30Ni–10Al–8Cr–5Mo–2Nb–(0, 2 & 4) Ti Cobalt Base Superalloys at Elevated Temperature. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science, 52(11), 5004–5015. https://doi.org/10.1007/s11661-021-06445-10",900,50,65,,,43.3,30.7,9.5,7.8,0,2.1,0,1.9,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.4Ni-9.7Al-8.1Cr-3.9Ti-1.9Nb-5.1Mo,Ti-4,"Roy, A., Singh, M. P., Das, S. M., Makineni, S. K., & Chattopadhyay, K. (2021). Role of Ti on Phase Evolution, Oxidation and Nitridation of Co–30Ni–10Al–8Cr–5Mo–2Nb–(0, 2 & 4) Ti Cobalt Base Superalloys at Elevated Temperature. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science, 52(11), 5004–5015. https://doi.org/10.1007/s11661-021-06445-11",900,50,70,,,40.9,30.4,9.7,8.1,0,3.9,0,1.9,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.4Ni-9.7Al-2.1Ta-4.7Mo,30Ni2Ta,"Singh, M. P., Olu, E. F., Pandey, P., & Chattopadhyay, K. (2021). Thermophysical and magnetic properties of Co-Ni-Mo-Al-Ta class of tungsten free Co-based superalloys. Journal of Alloys and Compounds, 879. https://doi.org/10.1016/j.jallcom.2021.160379",900,50,50,,,53.1,30.4,9.7,0,0,0,2.1,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.5Ni-9.7Al-1.9Ti-2.1Ta-4.8Mo,30Ni2Ta2Ti,"Singh, M. P., Olu, E. F., Pandey, P., & Chattopadhyay, K. (2021). Thermophysical and magnetic properties of Co-Ni-Mo-Al-Ta class of tungsten free Co-based superalloys. Journal of Alloys and Compounds, 879. https://doi.org/10.1016/j.jallcom.2021.160380",900,50,62,,,51,30.5,9.7,0,0,1.9,2.1,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.2Ni-9.8Al-2.0Cr-2.0Ti-1.9Ta-4.6Mo,30Ni2Ta2Ti2Cr,"Singh, M. P., Olu, E. F., Pandey, P., & Chattopadhyay, K. (2021). Thermophysical and magnetic properties of Co-Ni-Mo-Al-Ta class of tungsten free Co-based superalloys. Journal of Alloys and Compounds, 879. https://doi.org/10.1016/j.jallcom.2021.160381",900,50,67,,,49.5,30.2,9.8,2,0,2,1.9,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.1Ni-9.8Al-4.9Cr-2.0Ti-2.0Ta-4.9Mo,30Ni2Ta2Ti5Cr,"Singh, M. P., Olu, E. F., Pandey, P., & Chattopadhyay, K. (2021). Thermophysical and magnetic properties of Co-Ni-Mo-Al-Ta class of tungsten free Co-based superalloys. Journal of Alloys and Compounds, 879. https://doi.org/10.1016/j.jallcom.2021.160382",900,50,66,,,46.3,30.1,9.8,4.9,0,2,2,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.5Ni-10.2Al-10.2Cr-1.9Ti-2.1Ta-5.1Mo,30Ni2Ta2Ti10Cr,"Singh, M. P., Olu, E. F., Pandey, P., & Chattopadhyay, K. (2021). Thermophysical and magnetic properties of Co-Ni-Mo-Al-Ta class of tungsten free Co-based superalloys. Journal of Alloys and Compounds, 879. https://doi.org/10.1016/j.jallcom.2021.160383",900,50,71,,,41,29.5,10.2,10.2,0,1.9,2.1,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-7.5W-2.0Ta,ERBOCo-2Ta,"Volz, N., Xue, F., Zenk, C. H., Bezold, A., Gabel, S., Subramanyam, A. P. A., Drautz, R., 10.1016/j.jallcom.2021.160379Hammerschmidt, T., Makineni, S. K., Gault, B., Göken, M., & Neumeier, S. (2021). Understanding creep of a single-crystalline Co-Al-W-Ta superalloy by studying the deformation mechanism, segregation tendency and stacking fault energy. Acta Materialia, 214. https://doi.org/10.1016/j.actamat.2021.117019",950,50,69,,,81.5,0,9,0,7.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
