Shortname,Name,Paper,Aging Temp C,Temperature C,g' lattice parameter (nm),g lattice parameter,misfit,Notes,Index,Co,Ni,Al,Cr,W,Ti,Ta,Nb,V,Mo,C,Zr,B,Ir,Re,Si,Fe,Y,Hf,Ge,Mn,Sc,Ru,Ce,Nd
Co-30.Ni-12.Al-4.Cr,Co-30Ni-12Al-4Cr,"Chen, Y., Wang, C., Ruan, J., Yang, S., Omori, T., Kainuma, R., Ishida, K., Han, J., Lu, Y., & Liu, X. (2020). Development of low-density ?/?? Co–Al–Ta-based superalloys with high solvus temperature. Acta Materialia, 188, 652–664. https://doi.org/10.1016/j.actamat.2020.02.060",800,25,0.3597,0.357,0.007535,(111) peak,124,54,30,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-12.Al-8.Cr,Co-30Ni-12Al-8Cr,"Chen, Y., Wang, C., Ruan, J., Yang, S., Omori, T., Kainuma, R., Ishida, K., Han, J., Lu, Y., & Liu, X. (2020). Development of low-density ?/?? Co–Al–Ta-based superalloys with high solvus temperature. Acta Materialia, 188, 652–664. https://doi.org/10.1016/j.actamat.2020.02.061",800,25,0.3597,0.3576,0.005855,(111) peak,125,50,30,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-27.2Ni-3.1Al-10.9Cr-8.1Ti,101a,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3585,0.3566,0.005314,"air cooled, just report 50C as ""equilibrium aging temp""",129,50.7,27.2,3.1,10.9,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-19.7Ni-5.4Al-11.Cr-5.3Ti,101b,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3578,0.3567,0.003079,,139,58.6,19.7,5.4,11,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-19.7Ni-7.5Al-11.1Cr-2.6Ti,101c,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3571,0.3562,0.002523,,151,59.1,19.7,7.5,11.1,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-39.8Ni-2.8Al-10.8Cr-7.6Ti,102a,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3586,0.3563,0.006434,,136,39,39.8,2.8,10.8,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-39.2Ni-5.9Al-10.5Cr-5.3Ti,102b,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.358,0.3562,0.005041,,140,39.1,39.2,5.9,10.5,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-39.7Ni-7.5Al-10.8Cr-2.6Ti,102c,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3572,0.3558,0.003927,,152,39.4,39.7,7.5,10.8,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-58.3Ni-3.2Al-10.8Cr-8.2Ti,103a,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3584,0.3563,0.005877,,128,19.5,58.3,3.2,10.8,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-59.5Ni-4.5Al-10.9Cr-5.6Ti,103b,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3577,0.3559,0.005045,,137,19.5,59.5,4.5,10.9,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-58.4Ni-8.6Al-10.7Cr-2.7Ti,103c,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3568,0.3555,0.00365,,146,19.6,58.4,8.6,10.7,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-18.3Ni-3.Al-16.2Cr-7.8Ti,151a,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3585,0.3569,0.004473,,134,54.7,18.3,3,16.2,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-18.3Ni-5.Al-16.1Cr-5.2Ti,151b,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3579,0.3567,0.003359,,142,55.4,18.3,5,16.1,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-19.Ni-7.1Al-16.5Cr-2.7Ti,151c,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3575,0.3564,0.003082,,147,54.7,19,7.1,16.5,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-37.1Ni-3.1Al-16.3Cr-7.9Ti,152a,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3589,0.3569,0.005588,,131,35.6,37.1,3.1,16.3,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-36.8Ni-5.4Al-16.1Cr-5.2Ti,152b,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3581,0.3564,0.004759,,143,36.5,36.8,5.4,16.1,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-36.1Ni-8.6Al-16.Cr-2.7Ti,152c,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3573,0.3561,0.003364,,148,36.6,36.1,8.6,16,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-54.3Ni-4.3Al-15.7Cr-7.7Ti,153a,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3587,0.3569,0.005031,,135,18,54.3,4.3,15.7,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-54.9Ni-5.6Al-15.9Cr-5.3Ti,153b,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.358,0.3565,0.004199,,141,18.3,54.9,5.6,15.9,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-54.8Ni-8.Al-16.1Cr-2.7Ti,153c,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3571,0.3561,0.002804,,149,18.4,54.8,8,16.1,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-17.3Ni-3.1Al-12.5Cr-7.9Ti,201a,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.359,0.3577,0.003628,,132,59.2,17.3,3.1,12.5,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-17.Ni-5.5Al-21.4Cr-5.Ti,201b,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3583,0.3573,0.002795,,145,51.1,17,5.5,21.4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-17.2Ni-7.8Al-21.8Cr-2.6Ti,201c,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3573,0.3567,0.001681,,153,50.6,17.2,7.8,21.8,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-34.2Ni-3.6Al-21.5Cr-8.1Ti,202a,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3591,0.3573,0.005025,,130,32.6,34.2,3.6,21.5,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-34.4Ni-5.7Al-21.2Cr-5.2Ti,202b,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3577,0.3569,0.002239,,144,33.5,34.4,5.7,21.2,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-34.Ni-8.2Al-21.6Cr-2.7Ti,202c,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3584,0.3571,0.003634,,150,33.5,34,8.2,21.6,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-50.7Ni-2.7Al-21.9Cr-7.9Ti,203a,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.359,0.3574,0.004467,,133,16.8,50.7,2.7,21.9,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-51.2Ni-6.Al-12.6Cr-5.5Ti,203b,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3582,0.3573,0.002516,,138,24.7,51.2,6,12.6,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-50.6Ni-8.5Al-20.9Cr-2.5Ti,203c,"Christofidou, K. A. et al. The microstructure and hardness of Ni-Co-Al-Ti-Cr quinary alloys. J. Alloys Compd. (2016) doi:10.1016/j.jallcom.2016.07.159.",50,25,0.3575,0.357,0.0014,,154,17.5,50.6,8.5,20.9,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.Ni-12.1Al-0.Cr-5.8W-2.2Ti-2.7Ta-0.1B,L24-0Cr,"Chung, D.-W. W. et al. Effects of Cr on the properties of multicomponent cobalt-based superalloys with ultra high ?? volume fraction. J. Alloys Compd. 832, 154790 (2020).",900,25,0.361,0.3587,0.006392,,155,48.1,29,12.1,0,5.8,2.24,2.66,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Co-28.9Ni-10.1Al-12.5Cr-5.1W-1.9Ti-2.3Ta-0.1B,L24-12Cr,"Chung, D.-W. W. et al. Effects of Cr on the properties of multicomponent cobalt-based superalloys with ultra high ?? volume fraction. J. Alloys Compd. 832, 154790 (2020).",900,25,0.3594,0.3587,0.00195,,157,39.15,28.9,10.1,12.5,5.09,1.86,2.3,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.2Ni-11.1Al-4.1Cr-5.7W-2.Ti-2.3Ta-0.1B,L24-4Cr,"Chung, D.-W. W. et al. Effects of Cr on the properties of multicomponent cobalt-based superalloys with ultra high ?? volume fraction. J. Alloys Compd. 832, 154790 (2020).",900,25,0.3606,0.3593,0.003612,,156,45.5,29.2,11.1,4.1,5.68,2.04,2.28,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.5Ni-10.5Al-8.Cr-5.1W-1.9Ti-2.7Ta-0.1B,L24-8Cr,"Chung, D.-W. W. et al. Effects of Cr on the properties of multicomponent cobalt-based superalloys with ultra high ?? volume fraction. J. Alloys Compd. 832, 154790 (2020).",900,25,0.3603,0.3592,0.003058,,158,42.2,29.5,10.5,8.02,5.14,1.85,2.69,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Co-28.8Ni-6.2Al-2.W-1.8Ti-0.9Ta-1.8Nb-2.7Mo,L19C,"Coakley, J. et al. Rafting and elastoplastic deformation of superalloys studied by neutron diffraction. Scr. Mater. 134, 110–114 (2017).",900,650,,,0.0052,cuboidal (default) microstructure in (h00),160,55.8,28.8,6.2,0,2,1.8,0.9,1.8,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-28.8Ni-6.2Al-2.W-1.8Ti-0.9Ta-1.8Nb-2.7Mo,L19C,"Coakley, J. et al. Rafting and elastoplastic deformation of superalloys studied by neutron diffraction. Scr. Mater. 134, 110–114 (2017).",900,900,,,0.0052,cuboidal (default) microstructure in (h00),160,55.8,28.8,6.2,0,2,1.8,0.9,1.8,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-28.8Ni-6.2Al-2.W-1.8Ti-0.9Ta-1.8Nb-2.7Mo,L19C,"Coakley, J. et al. Rafting and elastoplastic deformation of superalloys studied by neutron diffraction. Scr. Mater. 134, 110–114 (2017).",900,25,,,0.0055,cuboidal (default) microstructure in (h00),160,55.8,28.8,6.2,0,2,1.8,0.9,1.8,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-10.W-2.Ta,Q0,"Epishin, A., Petrushin, N., Nolze, G., Gerstein, G. & Maier, H. J. Investigation of the ??-Strengthened Quaternary Co-Based Alloys Co-Al-W-Ta. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 49, 4042–4057 (2018).",900,25,0.35982,0.35761,0.006161,,170,79,0,9,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-7.Al-10.W-2.Ta,Q1,"Epishin, A., Petrushin, N., Nolze, G., Gerstein, G. & Maier, H. J. Investigation of the ??-Strengthened Quaternary Co-Based Alloys Co-Al-W-Ta. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 49, 4042–4057 (2018).",900,25,0.36025,0.3595,0.002084,,171,81,0,7,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-7.Al-10.W-4.Ta,Q10,"Epishin, A., Petrushin, N., Nolze, G., Gerstein, G. & Maier, H. J. Investigation of the ??-Strengthened Quaternary Co-Based Alloys Co-Al-W-Ta. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 49, 4042–4057 (2018).",900,25,0.36069,0.35117,0.026747,,180,79,0,7,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-12.W-0.Ta,Q11,"Epishin, A., Petrushin, N., Nolze, G., Gerstein, G. & Maier, H. J. Investigation of the ??-Strengthened Quaternary Co-Based Alloys Co-Al-W-Ta. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 49, 4042–4057 (2018).",900,25,0.35974,0.35671,0.008458,,181,79,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-8.W-4.Ta,Q12,"Epishin, A., Petrushin, N., Nolze, G., Gerstein, G. & Maier, H. J. Investigation of the ??-Strengthened Quaternary Co-Based Alloys Co-Al-W-Ta. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 49, 4042–4057 (2018).",900,25,0.36071,0.35264,0.022626,,182,79,0,9,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-13.3Al-3.9W-3.2Ta,Q13,"Epishin, A., Petrushin, N., Nolze, G., Gerstein, G. & Maier, H. J. Investigation of the ??-Strengthened Quaternary Co-Based Alloys Co-Al-W-Ta. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 49, 4042–4057 (2018).",900,25,0.36043,0.35861,0.005062,,183,79.6,0,13.3,0,3.9,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-11.Al-5.9W-2.6Ta,Q14,"Epishin, A., Petrushin, N., Nolze, G., Gerstein, G. & Maier, H. J. Investigation of the ??-Strengthened Quaternary Co-Based Alloys Co-Al-W-Ta. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 49, 4042–4057 (2018).",900,25,0.36004,0.35813,0.005319,,184,80.5,0,11,0,5.9,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-11.Al-10.W-2.Ta,Q2,"Epishin, A., Petrushin, N., Nolze, G., Gerstein, G. & Maier, H. J. Investigation of the ??-Strengthened Quaternary Co-Based Alloys Co-Al-W-Ta. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 49, 4042–4057 (2018).",900,25,0.35966,0.35799,0.004654,,172,77,0,11,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-12.W-2.Ta,Q3,"Epishin, A., Petrushin, N., Nolze, G., Gerstein, G. & Maier, H. J. Investigation of the ??-Strengthened Quaternary Co-Based Alloys Co-Al-W-Ta. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 49, 4042–4057 (2018).",900,25,0.36008,0.35802,0.005737,,173,77,0,9,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-8.W-2.Ta,Q4,"Epishin, A., Petrushin, N., Nolze, G., Gerstein, G. & Maier, H. J. Investigation of the ??-Strengthened Quaternary Co-Based Alloys Co-Al-W-Ta. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 49, 4042–4057 (2018).",900,25,0.35984,0.35868,0.003229,,174,81,0,9,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-10.W-0.Ta,Q5,"Epishin, A., Petrushin, N., Nolze, G., Gerstein, G. & Maier, H. J. Investigation of the ??-Strengthened Quaternary Co-Based Alloys Co-Al-W-Ta. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 49, 4042–4057 (2018).",900,25,0.3593,0.35692,0.006646,,175,81,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-10.W-4.Ta,Q6,"Epishin, A., Petrushin, N., Nolze, G., Gerstein, G. & Maier, H. J. Investigation of the ??-Strengthened Quaternary Co-Based Alloys Co-Al-W-Ta. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 49, 4042–4057 (2018).",900,25,0.36059,0.35747,0.00869,,176,77,0,9,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-11.Al-8.W-2.Ta,Q7,"Epishin, A., Petrushin, N., Nolze, G., Gerstein, G. & Maier, H. J. Investigation of the ??-Strengthened Quaternary Co-Based Alloys Co-Al-W-Ta. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 49, 4042–4057 (2018).",900,25,0.36009,0.35594,0.011592,,177,79,0,11,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-7.Al-12.W-2.Ta,Q8,"Epishin, A., Petrushin, N., Nolze, G., Gerstein, G. & Maier, H. J. Investigation of the ??-Strengthened Quaternary Co-Based Alloys Co-Al-W-Ta. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 49, 4042–4057 (2018).",900,25,0.36023,0.35779,0.006796,,178,79,0,7,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-11.Al-10.W-0.Ta,Q9,"Epishin, A., Petrushin, N., Nolze, G., Gerstein, G. & Maier, H. J. Investigation of the ??-Strengthened Quaternary Co-Based Alloys Co-Al-W-Ta. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 49, 4042–4057 (2018).",900,25,0.35967,0.35732,0.006555,,179,79,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-13.7Al-7.7W,Co-12Al-10W,"Ferreras, R. C., Gálvez Díaz-Rubio, F. & Campos Gómez, M. TESIS DOCTORAL Design of high temperature cobalt-based alloys processed by powder metallurgy route Autor.",1250,25,,,0.0024,"(111), aged 24hr at 1250C",194,78.63,0,13.66,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-13.7Al-7.7W,Co-12Al-10W,"Ferreras, R. C., Gálvez Díaz-Rubio, F. & Campos Gómez, M. TESIS DOCTORAL Design of high temperature cobalt-based alloys processed by powder metallurgy route Autor.",1300,25,,,0.0022,"(111), aged 48hr at 1300C",194,78.63,0,13.66,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-11.7Al-9.W-2.1Ti-1.7Ta,Co-12Al-10W-2Ti-2Ta,"Ferreras, R. C., Gálvez Díaz-Rubio, F. & Campos Gómez, M. TESIS DOCTORAL Design of high temperature cobalt-based alloys processed by powder metallurgy route Autor.",1250,25,,,0.0023,"(111), aged 24hr at 1250C",193,75.49,0,11.65,0,9.03,2.14,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
